"","code","name","management","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"566",642,"Pioneer Homoeopathic Medical College & Hospital","Private Un-Aided",0,2,16,29,4,11,0,0.551724137931034,0.363636363636364
"567",642,"Pioneer Homoeopathic Medical College & Hospital","Private Un-Aided",0,1,4,21,1,3,0,0.19047619047619,0.333333333333333
"568",645,"School of Interior Design","Private Un-Aided",0,1,1,1,2,4,0,1,0.5
"570",648,"Government Science College, Chikhli","State Government",0,1,2,6,0,1,0,0.333333333333333,0
"571",648,"Government Science College, Chikhli","State Government",0,1,0,14,6,33,0,0,0.181818181818182
"575",653,"Government Arts & Commerce College, Vansda","State Government",0,1,3,10,8,12,0,0.3,0.666666666666667
"576",654,"S. S. Agrawal College of Arts, Commerce and Management","Private Un-Aided",1,1,7,11,4,11,1,0.636363636363636,0.363636363636364
"577",656,"Shri S. G. Patel Arts & Shri P. K. Desai Commerce College","Private Aided",1,1,1,6,5,7,1,0.166666666666667,0.714285714285714
"578",657,"Udhna Citizen Commerce College & S.P.B. College of Business Administration & Udhna Academy College of Computer Application and Information Technology","Private Un-Aided",0,1,12,17,1,2,0,0.705882352941177,0.5
"582",661,"S. P. B. English Medium College of Commerce","Private Aided",0,1,7,11,1,5,0,0.636363636363636,0.2
"583",663,"C. J. Patel Vidhyadham English and Gujarati Medium Commerce College","Private Un-Aided",1,1,4,7,0,2,1,0.571428571428571,0
"584",664,"Smt. Tanuben and Dr. Manubhai Trivedi College of Information Science","Private Un-Aided",0,1,5,7,2,5,0,0.714285714285714,0.4
"588",666,"B. K. M. Science College","Private Aided",0,1,7,39,2,2,0,0.179487179487179,1
"589",667,"Shri Rang Shikshan Mahvidhyalaya","Private Aided",1,1,6,6,1,1,1,1,1
"590",669,"Arts & Commerce College, Sarbhan, Bharuch","Private Aided",0,1,0,13,78,139,0,0,0.561151079136691
"593",674,"V. T. Choksi Sarvajanik Law College","Private Aided",1,1,1,1,1,7,1,1,0.142857142857143
"597",681,"Smt. R. P. Chauhan Arts & Smt. J. K. Shah & Shri K. D. Shah Commerce College","Private Aided",0,1,11,21,4,4,0,0.523809523809524,1
"598",681,"Smt. R. P. Chauhan Arts & Smt. J. K. Shah & Shri K. D. Shah Commerce College","Private Aided",0,1,6,29,2,3,0,0.206896551724138,0.666666666666667
"600",683,"Government Arts College, Dediyapada","State Government",0,1,2,16,3,20,0,0.125,0.15
"603",689,"Ambaba Commerce College, Maniba Institute of Business Management & Deviba Institute of Computer Application","Private Un-Aided",0,1,12,48,30,96,0,0.25,0.3125
"604",689,"Ambaba Commerce College, Maniba Institute of Business Management & Deviba Institute of Computer Application","Private Un-Aided",0,1,11,29,1,4,0,0.379310344827586,0.25
"605",690,"Government Medical College","State Government",0,1,89,166,18,36,0,0.536144578313253,0.5
"608",693,"V. T. Choksi Sarvajanik College of Education","Private Aided",1,1,0,2,1,8,1,0,0.125
"611",696,"Smt. Vasantiben Ranchhodbhai Bhakta College Education","Private Aided",0,1,3,6,4,22,0,0.5,0.181818181818182
"614",697,"Shri Morarji  Ranchhodji Desai Arts College","Private Aided",0,1,4,27,1,27,0,0.148148148148148,0.037037037037037
"621",705,"Government Arts & Commerce College, Kachhal","State Government",0,1,0,3,2,14,0,0,0.142857142857143
"624",708,"M. L. Parmar Charitable Trust BCA College","Private Un-Aided",0,1,2,14,6,11,0,0.142857142857143,0.545454545454545
"625",710,"Naran Lala Institute of Teacher Education","Private Un-Aided",1,1,4,6,1,1,1,0.666666666666667,1
"627",711,"Narmada College of Science & Commerce","Private Aided",0,1,0,7,0,8,0,0,0
"628",711,"Narmada College of Science & Commerce","Private Aided",0,1,8,28,7,10,0,0.285714285714286,0.7
"629",713,"J. Z. Shah Arts & H. P. Desai Commerce College","Private Aided",0,1,11,27,2,2,0,0.407407407407407,1
"631",715,"Government B. Ed. College, Vansda","State Government",0,1,0,5,3,22,0,0,0.136363636363636
"632",715,"Government B. Ed. College, Vansda","State Government",0,1,0,1,2,6,0,0,0.333333333333333
"633",716,"Babubhai B. Avichal Arts & Commerce College","Private Aided",0,1,7,20,0,1,0,0.35,0
"639",723,"DODHIWALA ARTS & COMMERCE COLLEGE-THANGADH","Private Un-Aided",0,4,1,9,1,13,0,0.111111111111111,0.0769230769230769
"644",728,"V.M.MEHTA MUNI.MUNI. ARTS & COMM. COLLEGE, JAMNAGAR","Private Aided",0,1,5,12,3,4,0,0.416666666666667,0.75
"649",735,"SHREE D.K. KAPURIA ARTS COLLEGE AND S.B. GARDI COMMERCE COLLEGE, KALAVAD","Private Aided",0,1,3,8,1,6,0,0.375,0.166666666666667
"653",746,"SHREE K.O. SHAH MUNI. ARTS & COMMERCE COLLEGE, DHORAJI","Private Aided",0,1,3,9,0,1,0,0.333333333333333,0
"656",750,"ARTS & COMMERCE COLLEGE, MENDARDA","Private Aided",0,1,2,17,1,3,0,0.117647058823529,0.333333333333333
"664",762,"S.D.KOTAK LAW COLLEGE-AMRELI","Private Aided",1,1,0,2,1,2,1,0,0.5
"667",768,"SHRI A R BHATT COMPUTER & SCIENCE COLLEGE, UNA","University",1,2,18,30,2,2,0.5,0.6,1
"671",773,"School of Physiotherapy","Private Un-Aided",0,1,14,29,4,13,0,0.482758620689655,0.307692307692308
"673",777,"GARDI ARTS & COMMERCE COLLERE-MALIAHATINA","Private Aided",0,1,1,11,0,2,0,0.0909090909090909,0
"676",781,"SHRI D.V.RAVAL ARTS & COMM. COLLEGE-HALVAD","Private Aided",1,1,13,14,2,4,1,0.928571428571429,0.5
"680",785,"SHRI SWAMI NARAYAN PHYSIOTHERAPY COLLEGE-NADHED (JAM-KANDORANA)","Private Un-Aided",0,2,7,8,16,26,0,0.875,0.615384615384615
"682",788,"MATRUSHRI D.B. & K.G. COMMERCE & B.B.A. B.C.A. COLLEGE, AMRAPUR","Private Un-Aided",0,1,6,19,0,1,0,0.315789473684211,0
"683",788,"MATRUSHRI D.B. & K.G. COMMERCE & B.B.A. B.C.A. COLLEGE, AMRAPUR","Private Un-Aided",1,1,13,63,6,31,1,0.206349206349206,0.193548387096774
"689",795,"Smt. Sadguna C.U.Shah Home Science and C.U.Shah Arts & Commerce Mahila College","Private Aided",0,1,12,27,11,15,0,0.444444444444444,0.733333333333333
"690",795,"Smt. Sadguna C.U.Shah Home Science and C.U.Shah Arts & Commerce Mahila College","Private Aided",1,1,6,13,5,6,1,0.461538461538462,0.833333333333333
"691",797,"Smt. Bhanumati Vrujlal Dhanak Arts, Commerce, Science & Management College - Bagasara","Private Aided",0,1,33,70,25,33,0,0.471428571428571,0.757575757575758
"692",797,"Smt. Bhanumati Vrujlal Dhanak Arts, Commerce, Science & Management College - Bagasara","Private Aided",0,1,3,13,5,8,0,0.230769230769231,0.625
"693",798,"A.V.D.SAVJANI ARTS & COMMERCE COLLEGE-JAMJODHAPUR","Private Aided",0,1,2,5,2,2,0,0.4,1
"694",798,"A.V.D.SAVJANI ARTS & COMMERCE COLLEGE-JAMJODHAPUR","Private Aided",0,1,2,11,0,1,0,0.181818181818182,0
"696",799,"SHRI MATRU MANDIR  B.S.W. COLLEGE RAJKOT","Private Un-Aided",0,1,3,17,2,3,0,0.176470588235294,0.666666666666667
"701",807,"M.P. SHAH COMMERCE COLLEGE -SURENDRANAGAR","Private Aided",0,1,3,9,4,6,0,0.333333333333333,0.666666666666667
"704",812,"SHREE DEVMANI ARTS & COMMERCE COLLEGE-VISAVDAR","Private Aided",0,1,5,11,0,1,0,0.454545454545455,0
"710",818,"C.U.SHAH COLLEGE OF COMMERCE MANAGEMENT & COMPUTER EDUCATION -WADHWAN","Private Un-Aided",0,2,6,13,3,4,0,0.461538461538462,0.75
"715",824,"ARTS, COMMERCE COMPUTER SCIENCE COLLEGE-MANAVADAR","Private Aided",0,1,3,23,1,1,0,0.130434782608696,1
"717",826,"MAHILA ARTS COLLEGE , DHORAJI","Private Aided",2,2,14,14,2,4,1,1,0.5
"719",828,"S.M.JADEJA ARTS & COMMERCE COLLEGE-KUTIYANA (PORBANDAR)","Private Aided",0,1,1,11,1,3,0,0.0909090909090909,0.333333333333333
"721",831,"K.K.PAREKH COMM.. COLLEGE -AMRELI","Private Aided",0,1,1,11,12,16,0,0.0909090909090909,0.75
"722",832,"J.J.KUNDALIYA COMMERCE COLLEGE-RAJKOT","Private Aided",1,1,3,6,5,15,1,0.5,0.333333333333333
"723",833,"M.P.SHAH ARTS & SCIENCE COLLEGE, SURENDRANAGAR","State Government",0,1,14,28,3,6,0,0.5,0.5
"724",834,"M.V.MAHILA SCIENCE & HOMESCI.COLLEGE-RAJKOT","Private Aided",0,1,18,24,2,2,0,0.75,1
"728",839,"SHRI D.M. PATEL COLLEGE OF PHYSIOTHERAPY, AMRELI","Private Un-Aided",1,1,6,7,2,7,1,0.857142857142857,0.285714285714286
"736",848,"R.P.BHALODIYA COMMERCE, MANAGEMTNT & COMPUTER COLLEGE-RAJKOT","Private Un-Aided",0,2,1,13,0,16,0,0.0769230769230769,0
"741",852,"NATIONAL SCHOOL OF INTERIOR DESIGN-RAJKOT","Private Un-Aided",1,2,4,5,0,1,0.5,0.8,0
"742",854,"JAWAHARLAL NEHRU HOMOEOPATHIC MEDICAL COLLEGE - LIMDA","Private Un-Aided",0,1,17,40,0,15,0,0.425,0
"754",872,"S.S.P.JAIN ARTS & COMM.COLLEGE-NARSHIPARA, DHANGADHRA","Private Aided",0,1,2,12,2,4,0,0.166666666666667,0.5
"756",874,"M.T.DHAMSANIYA COMMERCE & B.B.A. COLLEGE-RAJKOT","Private Aided",0,1,2,9,2,5,0,0.222222222222222,0.4
"757",875,"H.J.DOSHI INFO.TECH. INSTITUTE -JAMNAGAR","Private Un-Aided",1,1,2,7,0,1,1,0.285714285714286,0
"773",901,"U.K.VACHHANI MAHILA ARTS & HOMESCI. COLLEGE-KESHOD","Private Aided",0,1,9,16,1,4,0,0.5625,0.25
"775",903,"Shri H.L. Patel Arts & Commerce College - Bhayavadar","Private Aided",0,1,3,12,1,4,0,0.25,0.25
"778",906,"CHRIST COLELGE, RAJKOT (ARTS, CIENCE, COMMERCE)","Private Un-Aided",1,1,21,43,7,14,1,0.488372093023256,0.5
"784",913,"M.B.ARTS & COMMRGE COLLEGE, GONDAL","Private Aided",0,1,2,15,2,2,0,0.133333333333333,1
"790",920,"DR.V.R.GODHANIYA B.ED. COLLEGE-PORBANDAR","Private Un-Aided",0,1,12,19,1,3,0,0.631578947368421,0.333333333333333
"793",926,"N. P. ARTS & COMMERCE COLLEGE-KESHOD","Private Aided",0,1,2,10,3,18,0,0.2,0.166666666666667
"795",928,"SHRI H.N.DOSHI ARTS & R.N.DOSHI COMMERCE COLLEGE, WANKANER","Private Aided",0,1,4,8,0,1,0,0.5,0
"797",932,"WELL KNOWN COLLEGE OF COMPUTER SCIENCE-RAJKOT","Private Un-Aided",0,1,4,19,1,3,0,0.210526315789474,0.333333333333333
"800",936,"GOVERNMENT DENTAL COLLEGE, JAMNAGAR","State Government",0,1,13,40,0,4,0,0.325,0
"801",936,"GOVERNMENT DENTAL COLLEGE, JAMNAGAR","State Government",0,1,10,19,24,38,0,0.526315789473684,0.631578947368421
"803",937,"B.A. DANGAR HOMOEOPATHY MEDICAL COLLEGE-RAJKOT","Private Aided",0,1,6,30,0,10,0,0.2,0
"804",938,"C.U.SHAH PHYSIOTHERPY COLLEGE-SURENDRANAGAR","Private Un-Aided",0,1,10,14,13,15,0,0.714285714285714,0.866666666666667
"807",940,"PANCHSHIL COLLEGE OF EDUCATION (B.ED.)-RAJKOT","Private Un-Aided",0,1,3,12,9,26,0,0.25,0.346153846153846
"810",943,"SAKHIDA ARTS GADDIWALA COMM.& HOMESCI.COLLEGE-LIMBDI","Private Aided",0,1,5,11,0,6,0,0.454545454545455,0
"811",944,"J.J.C. EDU. COMMERCE COLLEGE -JUNAGADH","Private Aided",0,1,2,14,0,1,0,0.142857142857143,0
"817",952,"INDUBHAI PAREKH COLLEGE OF ARCHITECTURE -VIRDA-VAJDI-RAJKOT","Private Un-Aided",0,1,1,7,7,20,0,0.142857142857143,0.35
"818",952,"INDUBHAI PAREKH COLLEGE OF ARCHITECTURE -VIRDA-VAJDI-RAJKOT","Private Un-Aided",0,1,2,4,4,7,0,0.5,0.571428571428571
"822",956,"A.M.P. LAW COLLEGE-RAJKOT","State Government",1,1,0,1,3,7,1,0,0.428571428571429
"825",961,"JASANI ARTS & COMMERCE COLLEGE-RAJKOT","Private Aided",1,1,5,15,3,4,1,0.333333333333333,0.75
"828",964,"SHRI D.M. BARAD ARTS & COMMERCE GHUSIA(GIR)","University",0,1,4,20,1,2,0,0.2,0.5
"831",967,"SHASTRI SWAMI DHAMJIVANDASJI INSTITUTE OF INFO.TECH-JUNAGADH","Private Un-Aided",0,1,0,15,0,6,0,0,0
"838",974,"PARANGAT B.ED. COLLEGE, HALVAD","Private Aided",0,3,10,30,3,8,0,0.333333333333333,0.375
"841",976,"DR. V.R.GODHAVANIYA MAHILA ARTS COMM. HOME SCI &  I.T. COLLEGE - PORBANDAR","Private Aided",0,1,12,19,8,14,0,0.631578947368421,0.571428571428571
"842",977,"MINABEN KUNDALIYA MAHILA ARTS COMM. COLLEGE-RAJKOT","Private Aided",1,1,13,22,4,4,1,0.590909090909091,1
"844",978,"U.N.MEHTA ARTS COLLEGE-MORBI","Private Aided",0,1,5,17,3,16,0,0.294117647058824,0.1875
"850",984,"VIVEKANAND INSTITUTE OF HOTEL & TOURISM MANAGEMENT -RAJKOT","Private Un-Aided",0,2,2,13,3,11,0,0.153846153846154,0.272727272727273
"852",989,"MAHILA ARTS  & COMM. COLLEGE-UNA","Private Aided",0,1,3,4,0,4,0,0.75,0
"856",994,"YOGIJI MAHARAJ MAHAVIDYALAY MAHILA ARTS & COMM.COLLEGE-DHARI","Private Aided",0,1,7,13,2,2,0,0.538461538461538,1
"858",996,"MATUSHREE MONGHIBA MAHILA ARTS COLLEGE, AMRELI","Private Aided",1,1,6,9,4,6,1,0.666666666666667,0.666666666666667
"862",999,"S.H.GARDI ARTS & C.R.GARDI COMM.COLLEGE-DHROL","Private Aided",0,1,1,8,0,1,0,0.125,0
"863",1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT","Private Aided",0,1,41,105,11,35,0,0.39047619047619,0.314285714285714
"864",1001,"A.V.HIRANI  COLLEGE OF JOURNALISM & PERFORMING ARTS-RAJKOT","Private Aided",0,1,2,6,0,2,0,0.333333333333333,0
"866",1002,"J.H.BHALODIYA WOMEN'S  COLLEGE-RAJKOT (COMMERCE & B.B.A.)","Private Aided",0,1,3,8,2,4,0,0.375,0.5
"871",1006,"SMT. K.S.N.KANSAGARA MAHILA ARTS & COMM. COLLEGE-RAJKOT","Private Aided",0,1,15,27,2,2,0,0.555555555555556,1
"876",1010,"MUNI. ARTS & COMMERCE COLLEGE, UPLETA","Private Aided",0,1,5,11,0,2,0,0.454545454545455,0
"879",1013,"SHRI M.N. KAMPANI ARTS & A.K. SHAH COMMERCE COLLEGE, MANGROL","Private Aided",0,1,4,14,2,10,0,0.285714285714286,0.2
"880",1015,"J.J.KUNDALIYA ARTS & COMMERCE COLLEGE-RAJKOT","Private Aided",0,1,5,9,2,2,0,0.555555555555556,1
"883",1019,"BAHUDDIN GOVT. SCIENCE COLLEGE JUNAGADH","State Government",0,1,4,21,4,5,0,0.19047619047619,0.8
"889",1023,"SARASWATI INFOTECH EDUCATION COLLEGE OF COMPUTER, SCIENCE & I.T., JUNAGADH","Private Un-Aided",0,2,29,39,2,7,0,0.743589743589744,0.285714285714286
"896",1028,"GLORIOUS COLLEGE OF COMPUTER SCIENCE, RAJKOT","Private Aided",0,1,6,10,5,11,0,0.6,0.454545454545455
"899",1032,"V.D.KANKIYA ARTS & M.R.SANGHVI COMMERCE COLLEGE-SAVARKUNDLA","Private Aided",0,1,3,10,2,14,0,0.3,0.142857142857143
"901",1034,"GAYATRI GURUKRUPA B.ED. COLLEGE, LATHI","Private Un-Aided",0,1,55,178,0,18,0,0.308988764044944,0
"909",1042,"GOSANI COMMERCE & NAGDA B.B.A.COLLEGE JAMNAGAR","Private Un-Aided",1,1,10,13,8,13,1,0.769230769230769,0.615384615384615
"912",1044,"DR.SUBHASH MAHILA ARTS COMM.& HOMESCI.COLLEGE-JUNAGADH","Private Aided",0,1,6,21,1,5,0,0.285714285714286,0.2
"914",1047,"DHARMENDRASIHJI ARTS COLLEGE, RAJKOT","State Government",1,1,9,15,5,10,1,0.6,0.5
"915",1047,"DHARMENDRASIHJI ARTS COLLEGE, RAJKOT","State Government",0,1,15,36,0,3,0,0.416666666666667,0
