"","code","name","management","admin.female.total","admin.total","fulltime.female.total","fulltime.total","part.female.total","part.total","admin.female.ratio","fulltime.female.ratio","part.female.ratio"
"2129",6360,"Bhim Rao Ambedkar College","State Government",0,1,35,76,1,1,0,0.460526315789474,1
"2130",6361,"Deen Dayal Upadhyaya College","State Government",0,1,53,95,15,26,0,0.557894736842105,0.576923076923077
"2132",6362,"Sri Aurobindo College","State Government",1,1,3,3,3,3,1,1,1
"2133",6365,"Indraprastha College for Women","University",1,1,96,97,33,52,1,0.989690721649485,0.634615384615385
"2134",6366,"Shivaji College","Central Government",1,1,65,113,37,69,1,0.575221238938053,0.536231884057971
"2135",6367,"Daulat Ram College","Local Body",1,1,64,64,112,112,1,1,1
"2136",6368,"College of Art","State Government",1,1,4,6,2,3,1,0.666666666666667,0.666666666666667
"2145",6376,"Delhi College of Arts & Commerce","University",0,1,28,60,19,33,0,0.466666666666667,0.575757575757576
"2147",6377,"Hindu College","University",0,1,1,5,1,2,0,0.2,0.5
"2148",6378,"Nehru Homoeopathic Medical College & Hospital","State Government",0,1,24,52,4,8,0,0.461538461538462,0.5
"2149",6379,"Netaji Subhas Institute of Technology","State Government",0,1,5,11,2,3,0,0.454545454545455,0.666666666666667
"2151",6380,"Acharya Narender Dev College","University",1,1,50,74,16,39,1,0.675675675675676,0.41025641025641
"2152",6381,"Keshav Mahavidyalaya","University",1,1,33,49,35,53,1,0.673469387755102,0.660377358490566
"2153",6382,"Vivekananda College","University",1,1,48,50,42,65,1,0.96,0.646153846153846
"2154",6383,"Zakir Husain Delhi College","Central Government",0,1,71,152,24,50,0,0.467105263157895,0.48
"2155",6385,"Kirori Mal College","Central Government",1,1,2,9,4,4,1,0.222222222222222,1
"2156",6385,"Kirori Mal College","Central Government",0,1,78,157,11,41,0,0.496815286624204,0.268292682926829
"2157",6386,"Institute of Home Economics","University",1,1,9,14,3,6,1,0.642857142857143,0.5
"2159",6387,"Bhaskaracharya College of Applied Sciences","Central Government",0,1,27,44,16,35,0,0.613636363636364,0.457142857142857
"2162",6390,"Aditi Mahavidyalaya","University",1,1,57,58,38,49,1,0.982758620689655,0.775510204081633
"2163",6391,"Maitreyi College","University",1,1,107,110,48,54,1,0.972727272727273,0.888888888888889
"2165",6393,"Bhagini Nivedita College","State Government",1,1,37,40,28,39,1,0.925,0.717948717948718
"2166",6396,"Aryabhatta College","University",0,1,11,43,8,16,0,0.255813953488372,0.5
"2168",6397,"College of Vocational Studies","University",0,1,29,50,22,33,0,0.58,0.666666666666667
"2169",6397,"College of Vocational Studies","University",0,1,0,5,0,2,0,0,0
"2170",6399,"Bharati College","State Government",1,1,54,55,33,54,1,0.981818181818182,0.611111111111111
"2171",6401,"Shaheed Bhagat Singh College (Evening)","State Government",0,1,14,57,20,34,0,0.245614035087719,0.588235294117647
"2172",6402,"Kalindi College","State Government",1,1,76,86,46,75,1,0.883720930232558,0.613333333333333
"2175",6406,"Sri Guru Nanak Dev Khalsa College","Private Aided",1,1,25,59,23,27,1,0.423728813559322,0.851851851851852
"2179",6411,"Shaheed Sukhdev College of Business Studies","University",1,1,20,35,7,19,1,0.571428571428571,0.368421052631579
"2180",6412,"Maharaja Agrasen College","State Government",0,1,33,62,23,52,0,0.532258064516129,0.442307692307692
"2182",6413,"Sri Guru Gobind Singh College of Commerce","University",0,1,36,45,20,24,0,0.8,0.833333333333333
"2183",6414,"Maulana Azad Medical College","State Government",0,1,85,202,9,16,0,0.420792079207921,0.5625
"2188",6418,"Pandit Deen Dayal Upadhaya Institute for the Physically Handicapped","Central Government",0,1,7,14,16,56,0,0.5,0.285714285714286
"2190",6420,"Jesus & Mary College","Private Aided",1,1,81,85,30,31,1,0.952941176470588,0.967741935483871
"2191",6421,"Shaheed Bhagat Singh College","State Government",0,1,49,99,32,47,0,0.494949494949495,0.680851063829787
"2192",6422,"Amar Jyoti Institute of Physiotheraphy","Private Un-Aided",0,1,5,5,1,3,0,1,0.333333333333333
"2193",6424,"Mata Sundri College for Women","Private Aided",1,1,86,88,39,42,1,0.977272727272727,0.928571428571429
"2196",6426,"Shaheed Rajguru College of Applied Sciences for Women","State Government",1,1,20,21,1,1,1,0.952380952380952,1
"2199",6427,"Ayurvedic & Unani Tibbia College","State Government",0,1,2,2,1,1,0,1,1
"2201",6430,"University College of Medical Science & Guru Teg Bahadur Hospital","University",0,1,58,116,34,53,0,0.5,0.641509433962264
"2204",6432,"Dyal Singh College","University",0,1,87,155,81,153,0,0.561290322580645,0.529411764705882
"2211",6438,"Institute of Ayruvedic Pharmaceutical Sciences","Private Un-Aided",0,1,4,8,1,2,0,0.5,0.5
"2214",6443,"Government Akhandanand Ayurved College","State Government",0,1,21,48,0,1,0,0.4375,0
"2219",6448,"Government Ayurved College, Vadodara","State Government",0,1,4,5,2,2,0,0.8,1
"2233",6479,"Raja Singh College, Siwan","State Government",0,1,1,13,2,8,0,0.0769230769230769,0.25
"2235",6486,"Yadunandan College, Dighwara","University",0,1,2,4,1,1,0,0.5,1
"2237",6487,"Rajendra College, Chapra","State Government",0,1,2,23,1,12,0,0.0869565217391304,0.0833333333333333
"2244",6498,"Jawaharlal Nehru Rajkeeya  Mahavidyalaya","Central Government",0,1,18,67,55,80,0,0.26865671641791,0.6875
"2247",6500,"Alpha College of Engineering & Technology","Local Body",0,2,32,102,0,4,0,0.313725490196078,0
"2252",6506,"Rajiv Gandhi Arts & Science College","State Government",0,1,5,10,7,18,0,0.5,0.388888888888889
"2257",6512,"Raak Nursing and  Paramedical College","Private Aided",1,1,6,7,12,14,1,0.857142857142857,0.857142857142857
"2258",6514,"Pondicherry University Community College","University",0,1,5,11,7,11,0,0.454545454545455,0.636363636363636
"2263",6519,"Rajiv Gandhi College of Veterinary  &  Animal Sciences","State Government",0,1,9,48,1,1,0,0.1875,1
"2266",6523,"Indira Gandhi College of Arts   and Science","State Government",0,1,17,31,4,4,0,0.548387096774194,1
"2269",6526,"College of Nursing, East Coast Institute of Medical Sciences","Private Un-Aided",1,1,7,7,25,36,1,1,0.694444444444444
"2270",6528,"Dr.B.R. Ambedkar Institute of Technology","Central Government",0,1,13,34,16,44,0,0.382352941176471,0.363636363636364
"2272",6531,"Amarnath College of Education","Private Un-Aided",0,1,0,7,0,1,0,0,0
"2274",6533,"Krishnasamy College of Education for Women","Private Un-Aided",0,1,4,7,1,1,0,0.571428571428571,1
"2278",6536,"Sri Venkateswaraa  Medical College & Hospital & Research Centre","Private Un-Aided",0,1,40,119,15,25,0,0.336134453781513,0.6
"2282",6541,"Arignar Anna Govt. Arts College","State Government",0,1,16,49,6,9,0,0.326530612244898,0.666666666666667
"2286",6545,"Mahe Co-operative College of Higher Education & Technology","Private Un-Aided",0,1,16,24,17,19,0,0.666666666666667,0.894736842105263
"2288",6547,"Mahatma Gandhi Govt. College","Central Government",0,1,2,10,19,36,0,0.2,0.527777777777778
"2290",6549,"Pondicherry Institute of Medical Sciences","Private Un-Aided",0,1,58,162,21,54,0,0.358024691358025,0.388888888888889
"2293",6552,"Perunthalaivar Kamarajar Govt. Arts College","State Government",1,1,8,16,5,11,1,0.5,0.454545454545455
"2295",6554,"Mother Theresa Post Graduate and Research Institute of Health Sciences","State Government",0,1,34,49,16,26,0,0.693877551020408,0.615384615384615
"2306",6563,"Indirani College of Nursing","Private Un-Aided",1,1,18,24,26,34,1,0.75,0.764705882352941
"2314",6574,"Tagore Government College of Education","State Government",0,1,2,5,17,25,0,0.4,0.68
"2319",6578,"Sri Venkateshwaraa College of Para Medical Sciences","Private Un-Aided",0,4,7,19,5,12,0,0.368421052631579,0.416666666666667
"2324",6584,"Sabari College of Nursing","Private Un-Aided",1,1,11,11,9,10,1,1,0.9
"2329",6589,"Dr. B.R. Ambedkar Government Law College","State Government",0,1,1,4,6,9,0,0.25,0.666666666666667
"2331",6591,"ASPEE Institue of Agribussiness Management","University",1,1,3,4,2,2,1,0.75,1
"2340",6598,"Government College Rhenock, Rungdung","State Government",1,1,3,10,11,24,1,0.3,0.458333333333333
"2346",6601,"Sikkim Government Law College,Burtuk","State Government",0,1,2,7,6,10,0,0.285714285714286,0.6
"2353",6607,"Shri Rishi Kumar Sanskrit College, Pili Kothi, Chitrakoot, Satna","Private Un-Aided",0,1,0,4,0,2,0,0,0
"2356",6609,"Shri Ram Sanskrit College, Chitrakoot, Satna","Private Un-Aided",0,1,0,4,0,4,0,0,0
"2362",6614,"Government Manmal Mimraj Ruyia Sanskrit College, Ujjain","State Government",1,1,1,2,1,4,1,0.5,0.25
"2376",6627,"ADIVASI ARTS & COMMERCE COLLEGE BHILODA","Private Aided",0,1,0,6,1,3,0,0,0.333333333333333
"2385",6636,"JOITIBA COLLEGE OF NURSING","Private Un-Aided",0,1,6,10,33,36,0,0.6,0.916666666666667
"2393",6644,"SHRI H S SHAH COLLEGE OF COMMERCE","Private Aided",0,1,1,5,4,6,0,0.2,0.666666666666667
"2394",6645,"SHREE AMBAJI ARTS & COMMERCE COLLEGE","Private Aided",0,1,2,12,1,5,0,0.166666666666667,0.2
"2401",6652,"SHRI BAYAD KELAVANI MANDAL SANACHALIT BED COLLEGE","Private Un-Aided",0,1,1,7,0,2,0,0.142857142857143,0
"2415",6665,"IDAR A.P.H.K.M. ARTS &P.N.PATEL COMM COLLEGE","Private Aided",0,1,4,24,0,2,0,0.166666666666667,0
"2418",6668,"SHET H.P ARTS & T S M COMMERCE COLLEGE","Private Aided",0,3,10,29,1,4,0,0.344827586206897,0.25
"2420",6670,"SHRI B H DAVE COLLEGE OF EDUCATION  SAMI","University",0,1,1,4,1,1,0,0.25,1
"2431",6680,"SHRI B P B ARTS & M H GURU COMMERCE COLLEGE","Private Aided",0,1,3,12,3,5,0,0.25,0.6
"2442",6688,"MUNCIPAL ARTS & URBAN BANK SCIENCE COLLEGE","Private Aided",0,1,6,45,4,8,0,0.133333333333333,0.5
"2447",6694,"SMT C C MAHILA ARTS & SHETH C N COMME COLLEGE","Private Aided",0,1,1,11,5,12,0,0.0909090909090909,0.416666666666667
"2456",6703,"THE NEW PROGRESSIVE COLLEGE TEACHERS EDUCATION","Private Un-Aided",0,1,5,7,0,3,0,0.714285714285714,0
"2459",6705,"SHETH  M N LAW COLLEGE PATAN","Private Aided",0,1,1,3,1,1,0,0.333333333333333,1
"2460",6705,"SHETH  M N LAW COLLEGE PATAN","Private Aided",0,2,1,4,1,2,0,0.25,0.5
"2461",6706,"ARTS COLLEGE SHAMLAJI","Private Aided",0,2,10,20,1,3,0,0.5,0.333333333333333
"2466",6711,"THE NEW PROGRESSIVE COLLEGE OG BUSINESS ADMINISTRATION","Private Un-Aided",0,1,2,6,2,5,0,0.333333333333333,0.4
"2470",6714,"AJET COLLEGE OF EDUCATION RADHANPUR","Private Un-Aided",0,1,4,7,0,2,0,0.571428571428571,0
"2474",6716,"GOVERNMENT SCIENCE COLLEGE IDAR","State Government",0,1,3,5,3,5,0,0.6,0.6
"2485",6734,"Narsinhbhai Patel Dental College & Hospital","Private Un-Aided",0,1,21,66,9,14,0,0.318181818181818,0.642857142857143
"2489",6740,"Smt. R. R. H. Patel MAHILA ARTS COLLEGE VIJAPUR","Private Aided",0,1,2,9,1,1,0,0.222222222222222,1
"2497",6748,"SRADDHA BCA COLLEGE BAYAD","Private Aided",1,1,10,23,2,3,1,0.434782608695652,0.666666666666667
"2504",6755,"RRM COLLEGE OF SCI & CLP COLLEGE OF COMMERCE","Private Aided",0,1,1,21,14,22,0,0.0476190476190476,0.636363636363636
"2507",6758,"SHRI SARASWATI SHIKSHAN MAHAVIDHYALAYA","Private Un-Aided",0,2,2,4,0,1,0,0.5,0
"2508",6760,"THE HNSB LTD SCIENCE COLLEGE MOTIPURA","Private Aided",0,1,2,20,0,2,0,0.1,0
"2518",6771,"SMT R M PRAJAPATI ARTS COLLEGE SATLASANA","Private Aided",0,1,2,12,2,4,0,0.166666666666667,0.5
"2519",6773,"SMT S M  PANCHAL SCIENCE COLLEGE TALOD","Private Aided",0,1,5,23,0,3,0,0.217391304347826,0
"2521",6774,"THE KNSB LTD ARTS & COMMERCE COLLEGE KHERALU","Private Aided",0,1,2,15,4,8,0,0.133333333333333,0.5
"2522",6775,"THE SNS BANK LTD MAHILA ARTS COLLEGE MEHTAPURA","Private Aided",0,1,4,6,2,2,0,0.666666666666667,1
"2525",6778,"MAHILA ARTS & COMMERCE COLLEGE DHANSURA","Private Aided",1,1,8,15,0,2,1,0.533333333333333,0
"2527",6780,"SHREE N S PATEL LAW COLLEGE MODASA","Private Aided",0,1,0,2,1,3,0,0,0.333333333333333
"2529",6783,"N P PATEL MAHILA ARTS COLLEGE PALANPUR","Private Un-Aided",1,1,6,6,3,3,1,1,1
"2535",6788,"SHRI JMP ARTS & SMT M N PATEL MAHILA COMMERCE COLLEGE","Private Aided",1,1,8,15,4,6,1,0.533333333333333,0.666666666666667
"2539",6791,"EXPERIMENTAL COLLEGE OF EDUCATION(MED)","Private Un-Aided",0,1,1,5,1,3,0,0.2,0.333333333333333
"2541",6792,"REVABA SARVAJANIK EDUCATION COLLEGE","Private Un-Aided",0,1,6,8,0,7,0,0.75,0
"2547",6800,"BDKM SANCHALIT LAW COLLEGE PALANPUR","Private Un-Aided",1,1,2,2,1,2,1,1,0.5
"2553",6806,"D D THAKAR ARTS & K J PATEL COMMERCE COLLEGE","Private Aided",0,1,3,15,0,1,0,0.2,0
"2555",6809,"SHRI & SMT P K KOTAWALA ARTS COLLEGE,PATAN","Private Aided",0,1,2,20,2,7,0,0.1,0.285714285714286
"2556",6809,"SHRI & SMT P K KOTAWALA ARTS COLLEGE,PATAN","Private Aided",0,1,3,7,1,4,0,0.428571428571429,0.25
"2564",6818,"SARDAR EDU TRUST SANCHALIT BED COLLEGE","Private Un-Aided",0,1,3,7,0,4,0,0.428571428571429,0
"2566",6820,"SHRI SVT COLLEGE OF EDUCATION","Private Un-Aided",0,2,1,14,0,1,0,0.0714285714285714,0
"2579",6838,"ARTS COLLEGE VADALI","Private Aided",0,1,2,10,0,1,0,0.2,0
"2584",6844,"SHREE SEVANTILAL TRIBHOVANDAS JAVERI ARTS COLLEGE, GADH","Private Un-Aided",0,1,3,8,0,3,0,0.375,0
"2595",6853,"SHREE Trikamjibhai CHATWANI ARTS & J V GOKAL Trust COMMERCE COLLEGE - Radhanpur","Private Aided",0,1,5,17,1,3,0,0.294117647058824,0.333333333333333
"2600",6858,"SAMARTH VIVIVDHLAXI BED COLLEGE","Private Un-Aided",1,1,4,5,1,1,1,0.8,1
"2611",6867,"NOOTAN BHARATI GRAM SEVA MAHAVIDHYALAYA","Private Aided",0,1,0,5,0,4,0,0,0
"2614",6871,"VNSB LTD ARTS & COMMERCE COLLEGE VADNAGAR","Private Aided",1,1,1,4,1,2,1,0.25,0.5
"2621",6879,"SMT M C DESAI ARTS & COMMERCE COLLEGE PRANTIJ","Private Aided",0,1,0,10,0,1,0,0,0
"2624",6883,"NSVK MANDAL SANCHALIT SECIENCE COLLEGE VISNAGAR","Private Un-Aided",0,1,12,24,0,3,0,0.5,0
"2631",6889,"G D MODI ARTS COLLEGE","Private Aided",0,1,4,10,0,5,0,0.4,0
"2633",6890,"GOVERMENT ARTS & COMMERCE COLLEGE MEGHRAJ","State Government",0,1,0,6,0,2,0,0,0
"2642",6898,"SHRI U H CHAUDHARY ARTS COLLEGE VADGAM","Private Un-Aided",0,1,0,6,0,4,0,0,0
"2648",6904,"SHETH V S LAW COLLEGE UNJHA","Private Aided",0,1,2,5,0,4,0,0.4,0
"2649",6905,"L N K COLLEGE OF EDUCATION","Private Aided",1,1,2,4,0,3,1,0.5,0
"2651",6906,"MARUTINANDANA BCA COLLEGE UMTA","Private Aided",0,1,2,4,0,2,0,0.5,0
"2654",6909,"CIFE Kolkata","Central Government",0,1,15,50,1,5,0,0.3,0.2
"2655",6912,"Sridevi Post Graduate Centre","Private Un-Aided",0,1,14,29,0,4,0,0.482758620689655,0
"2661",6919,"B.M.S. Government First Grade College, Huliyar","State Government",0,1,0,7,8,16,0,0,0.5
"2666",6924,"Sree Siddaganga Arts, Science and Commerce First Grade Women's College","Private Aided",1,1,4,34,40,50,1,0.117647058823529,0.8
"2673",6937,"Sri Siddartha Centre for Media Studies","Private Un-Aided",0,1,3,6,1,4,0,0.5,0.25
"2682",6952,"Government First Grade College, Koratagere","State Government",0,1,4,21,0,2,0,0.19047619047619,0
"2683",6953,"Vidyodaya First Grade College","Private Un-Aided",0,1,2,5,6,10,0,0.4,0.6
"2688",6957,"Government First Grade College, Gubbi","State Government",1,1,11,27,12,35,1,0.407407407407407,0.342857142857143
"2692",6960,"Indira College of Education","Private Un-Aided",1,1,3,4,0,1,1,0.75,0
"2697",6963,"Sridevi First Grade College","Private Un-Aided",0,1,10,18,2,4,0,0.555555555555556,0.5
"2699",6967,"Government First Grade College, Nonavinakere","State Government",0,1,0,4,1,1,0,0,1
"2701",6968,"Vidyavahini First Grade College","Private Un-Aided",0,2,10,26,6,10,0,0.384615384615385,0.6
"2710",6979,"Government First Grade College, Tiptur","State Government",0,1,7,28,44,105,0,0.25,0.419047619047619
"2724",6990,"Government First Grade College, Sira","State Government",0,1,5,25,31,48,0,0.2,0.645833333333333
"2738",7002,"Government First Grade College, Chikkanayakanahalli","State Government",0,1,0,4,13,41,0,0,0.317073170731707
"2749",7015,"Sree Siddaganga Arts, Science and Commerce First Grade College","Private Aided",0,1,14,58,28,43,0,0.241379310344828,0.651162790697674
"2750",7048,"Chettinad College of Nursing","Private Un-Aided",1,1,13,14,34,38,1,0.928571428571429,0.894736842105263
"2752",7049,"Chettinad Hospital and Research Institute","Private Un-Aided",0,2,86,249,15,27,0,0.345381526104418,0.555555555555556
"2755",7052,"J.R.S.E.T. College of Education","Private Un-Aided",1,1,5,9,1,5,1,0.555555555555556,0.2
"2759",7057,"Chakdaha College","University",1,1,6,23,41,100,1,0.260869565217391,0.41
"2760",7059,"Rani Dhanya Kumari College","Private Aided",0,1,2,5,8,24,0,0.4,0.333333333333333
"2761",7060,"Kanchrapara College","Private Aided",2,2,15,54,63,120,1,0.277777777777778,0.525
"2763",7062,"Dumkal College","State Government",1,1,2,12,5,39,1,0.166666666666667,0.128205128205128
"2765",7064,"Dr. K.R. Adhikary College of Optometry & Paramedical Technology","Private Un-Aided",0,2,21,59,11,54,0,0.355932203389831,0.203703703703704
"2777",7074,"Sripat Singh College","State Government",0,1,10,38,14,33,0,0.263157894736842,0.424242424242424
"2778",7075,"J.R.S.E.T College of Law","Private Un-Aided",0,1,4,6,3,4,0,0.666666666666667,0.75
"2784",7081,"Pritilata Mahila Mahavidyalaya","Local Body",1,1,1,2,1,2,1,0.5,0.5
"2786",7084,"Shimurali Sachinandan College of Education","Private Aided",0,1,2,4,3,8,0,0.5,0.375
"2788",7088,"Sagardighi Mahavidyalaya","Local Body",0,1,2,3,4,17,0,0.666666666666667,0.235294117647059
"2791",7089,"Nabadwip Vidyasagar College","Local Body",0,1,15,43,12,27,0,0.348837209302326,0.444444444444444
"2795",7091,"Haringhata Mahavidyalaya","State Government",0,1,2,6,15,33,0,0.333333333333333,0.454545454545455
"2797",7095,"Chapra Bangaljhi Mahavidyalaya","Local Body",0,1,4,4,12,42,0,1,0.285714285714286
"2799",7097,"Santipur College","University",1,1,6,33,8,22,1,0.181818181818182,0.363636363636364
"2807",7106,"S.K. Acharya Institute of Law","Private Un-Aided",0,2,5,11,6,12,0,0.454545454545455,0.5
"2810",7109,"Berhampore College","State Government",0,1,8,18,12,22,0,0.444444444444444,0.545454545454545
"2812",7111,"Monarch College of Art & Technology","Private Un-Aided",0,1,0,3,1,2,0,0,0.5
"2814",7112,"Pandit Raghunath Murmu Teachers' Training College","Local Body",0,1,3,7,0,2,0,0.428571428571429,0
"2819",7118,"Renuka Debi B.Ed. College","Private Aided",0,1,1,7,2,5,0,0.142857142857143,0.4
"2822",7120,"Mohammad Abdul Bari Institute of Juridical Science","Private Un-Aided",0,2,4,8,1,2,0,0.5,0.5
"2824",7121,"Krishnanath College","Local Body",1,1,14,47,11,27,1,0.297872340425532,0.407407407407407
"2826",7123,"Kalyani Mahavidyalaya","Local Body",0,1,6,17,16,24,0,0.352941176470588,0.666666666666667
"2829",7125,"Nagar College","Private Aided",0,1,2,5,0,2,0,0.4,0
"2830",7125,"Nagar College","Private Aided",0,1,3,11,6,36,0,0.272727272727273,0.166666666666667
"2833",7128,"Valia Arts and Mehta Commerce College","Private Aided",0,1,4,7,9,17,0,0.571428571428571,0.529411764705882
"2842",7137,"Shree Parekh Arts, Science and Commerce College","Private Aided",0,1,0,14,0,1,0,0,0
"2844",7139,"Kavishri Botadkar Arts and Commerce College","Private Aided",0,1,5,13,1,3,0,0.384615384615385,0.333333333333333
"2852",7151,"Shree Manubhai Patel Dental College and Hospital","Private Un-Aided",0,1,11,34,9,9,0,0.323529411764706,1
"2856",7161,"Nandkunvarba Mahila B.C.A. College","Private Un-Aided",1,1,3,4,1,1,1,0.75,1
"2879",7194,"M.J. College of Commerce","University",0,1,3,10,12,29,0,0.3,0.413793103448276
"2881",7196,"Lokseva Mahavidyalaya","Private Aided",0,1,1,12,0,13,0,0.0833333333333333,0
"2883",7198,"Government Medical College","State Government",0,1,41,113,22,39,0,0.36283185840708,0.564102564102564
"2886",7203,"Sir P.P. Institute of Science","University",0,1,4,31,12,25,0,0.129032258064516,0.48
"2889",7210,"Shree V.M. Sakaria Mahila Arts College","Private Aided",1,1,5,12,3,4,1,0.416666666666667,0.75
"2897",7221,"B.R.S. COLLEGE - DUMIYANI","Private Aided",0,1,1,17,1,1,0,0.0588235294117647,1
"2915",7242,"Kasturba Medical College, Manipal","University",0,1,117,344,36,90,0,0.340116279069767,0.4
"2919",7246,"Welcomgroup Graduate School of Hotel Administration, Manipal","University",1,1,9,34,0,1,1,0.264705882352941,0
"2926",7252,"Manipal Institute of Technology, Manipal","University",8,47,185,560,16,20,0.170212765957447,0.330357142857143,0.8
"2932",7260,"Indira Gandhi Senior College, Cidco, Nanded","Private Aided",0,1,4,24,10,22,0,0.166666666666667,0.454545454545455
"2947",7282,"Khurana sawant Institute of Engineering, Balsond, Hingoli","Private Un-Aided",0,1,3,25,4,16,0,0.12,0.25
"2948",7286,"Shivaji Mahavidyalaya, Renapur","Private Aided",0,1,1,29,1,3,0,0.0344827586206897,0.333333333333333
"2950",7288,"Government College of Education, Nanded","State Government",1,1,9,13,1,4,1,0.692307692307692,0.25
"2955",7295,"K. K. M. Arts Commerce & Science College, Manwat","Private Aided",0,1,2,21,6,11,0,0.0952380952380952,0.545454545454545
"2957",7297,"Chatrapati Sambhaji Maharaj College, Mahur","Private Un-Aided",0,1,5,16,0,8,0,0.3125,0
"2964",7308,"Saraswati Vidya Mandir Arts College, Kinwat","Private Aided",0,2,0,8,0,4,0,0,0
"2971",7318,"Nagnath Arts, Commerce & Science College, Aundha Nagnath","State Government",2,39,2,40,1,4,0.0512820512820513,0.05,0.25
"2977",7327,"Dayanand Science College, Latur","Private Aided",0,3,6,43,30,37,0,0.13953488372093,0.810810810810811
"2998",7350,"Shri Yoganand Swami Arts Mahavidyalaya, Vasmat Nagar","Local Body",0,1,4,13,0,6,0,0.307692307692308,0
"3005",7358,"Bhaurao Patil  College of Bioinformatics & I.T., Hingoli","Local Body",0,1,3,9,4,10,0,0.333333333333333,0.4
"3015",7367,"Kai. Rasikabai College, Devni","Local Body",0,1,3,7,2,4,0,0.428571428571429,0.5
"3016",7367,"Kai. Rasikabai College, Devni","Local Body",1,1,4,7,1,1,1,0.571428571428571,1
"3020",7370,"Dr. A.P.J. Abdul Kalam College of Education, Yusufiya Colony, Parbhani","Private Un-Aided",0,1,7,7,3,5,0,1,0.6
"3021",7371,"Shri Shivaji College, Vasmat Road, Parbhani","Private Aided",0,1,4,8,0,1,0,0.5,0
"3024",7373,"Mahatma Phule Adhyapak Mahavidyalaya, Jalkot","Local Body",1,1,5,9,4,5,1,0.555555555555556,0.8
"3025",7376,"Science College, Nanded","Private Aided",0,1,4,11,3,3,0,0.363636363636364,1
"3026",7376,"Science College, Nanded","Private Aided",0,2,7,38,9,11,0,0.184210526315789,0.818181818181818
"3033",7385,"Kai. Babasaheb Deshmukh Gorthekar, Arts, Commerce & Science College Umri","Private Aided",1,1,3,3,0,1,1,1,0
"3035",7386,"Nutan Mahavidyalaya, Selu","Local Body",0,1,3,21,2,8,0,0.142857142857143,0.25
"3041",7391,"Swami Vivekand College of Information Technology, Udgir","Private Un-Aided",0,1,1,7,1,12,0,0.142857142857143,0.0833333333333333
"3050",7399,"Dayanand E. S.'s Sarjudevi Bhikulal Bharuka Arya Women's College, Hingoli","Private Un-Aided",1,1,1,1,3,8,1,1,0.375
"3053",7401,"People's College, Nanded","Private Aided",0,1,9,38,9,38,0,0.236842105263158,0.236842105263158
"3085",7429,"Baliram Patil Gawte Arts & Commerce College, Penoor, Tq. Loha","Private Un-Aided",0,1,0,3,0,4,0,0,0
"3090",7431,"Kai. Ayudhiyabai Toshniwal  B.C.A. College, Yeldari Camp, Jintur","Private Aided",0,1,0,4,0,1,0,0,0
"3095",7435,"Indira Institute of Management, Vishnupuri, Nanded","Private Un-Aided",0,1,5,11,1,4,0,0.454545454545455,0.25
"3098",7437,"Kai. Bapurao Patil Arts & Science College, Hingoli","Local Body",0,1,2,13,0,7,0,0.153846153846154,0
"3104",7446,"Shri Renuka Devi Arts Senior College, Mahur","Private Aided",0,1,2,17,5,19,0,0.117647058823529,0.263157894736842
"3105",7447,"Neitizens College of Computer Science & Professional Studies, Latur","Private Un-Aided",0,2,5,10,1,3,0,0.5,0.333333333333333
"3106",7448,"Shri Datta Arts & Commerce College, Hadgaon","Private Aided",0,1,1,17,1,8,0,0.0588235294117647,0.125
"3107",7449,"Dayanand Commerce College, Latur","Private Aided",0,1,3,17,11,16,0,0.176470588235294,0.6875
"3114",7454,"Rajarshi Shahu Mahavidyalaya, Latur","Private Aided",0,1,7,44,28,65,0,0.159090909090909,0.430769230769231
"3123",7469,"Savitribai Phule BCA College, Vasmat","University",0,1,6,14,2,2,0,0.428571428571429,1
"3126",7472,"Punyashlok Ahileyadevi Holkar College, Ranisawagaon Tq. Gangakhed","Local Body",0,2,3,21,5,18,0,0.142857142857143,0.277777777777778
"3142",7494,"Maharashtra College of Engineering, Nilanga","Private Un-Aided",1,1,6,10,1,1,1,0.6,1
"3156",7504,"Sant Sambhaji Shinde College of  Library & Information Science, Parbhani","Private Un-Aided",1,1,1,2,0,1,1,0.5,0
"3160",7507,"Renuka Adhyapak Mahavidyalaya, Renapur","Private Un-Aided",0,1,2,2,0,6,0,1,0
"3163",7512,"Limra College of B.C.A., B.C.A., Gangakhed","Private Un-Aided",0,1,0,4,0,1,0,0,0
"3169",7519,"Beleshwar Mahavidyalaya, Beleshwar Nagar, Parbhani","Local Body",0,1,2,3,2,4,0,0.666666666666667,0.5
"3188",7540,"Hutatma Jaywantrao Patil College, Himayatnagar","Local Body",0,2,1,16,1,3,0,0.0625,0.333333333333333
"3191",7542,"Yuvak Pratishthan's MIT College of Computer Science & I.T. Vasmat","Local Body",0,1,4,7,1,3,0,0.571428571428571,0.333333333333333
"3219",7568,"Sant Dnyaneshwar B.C.A., B.Sc.C.S. College Dnyaneshwar nagar, Parbhani","Private Un-Aided",0,1,0,4,0,4,0,0,0
"3220",7569,"Mahatma Gandhi Mahavidyalaya, Ahemadpur","Private Aided",0,1,12,58,18,40,0,0.206896551724138,0.45
"3228",7582,"Maharashtra Lalit Kala Mahavidyalaya, Latur","Private Un-Aided",0,1,0,3,0,3,0,0,0
"3231",7586,"Dyanand College of Pharmacy, Barshi Road, Latur","Private Un-Aided",1,1,3,13,1,2,1,0.230769230769231,0.5
