"Application
Number",State,Region,inst,Program,Shift,P / F Time,"Level of
Course",Course,"Approved
Intake 15-
16",NRI Approved,PIO Approved,University Name
1-2449889991,Tamil Nadu,Southern,V.K.K VIJAYAN ENGINEERING COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,120,NA,NA,Anna University Chennai
1-2449901509,Tamil Nadu,Southern,GOVERNMENT COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449901509,Tamil Nadu,Southern,GOVERNMENT COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2449901509,Tamil Nadu,Southern,GOVERNMENT COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449901509,Tamil Nadu,Southern,GOVERNMENT COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449901509,Tamil Nadu,Southern,GOVERNMENT COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449901603,Tamil Nadu,Southern,EASWAR POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,AUTOMOBILE ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901603,Tamil Nadu,Southern,EASWAR POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901603,Tamil Nadu,Southern,EASWAR POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901603,Tamil Nadu,Southern,EASWAR POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901687,Tamil Nadu,Southern,SUN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901687,Tamil Nadu,Southern,SUN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901687,Tamil Nadu,Southern,SUN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901687,Tamil Nadu,Southern,SUN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449901687,Tamil Nadu,Southern,SUN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING (SANDWICH),120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,DIRECTION SCREEN PLAY WRITING & TV PRODUCTION,14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,FILM EDITING & TV PRODUCTION,14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,FILM TECHNOLOGY & TV PRODUCTION [CINEMATOGRAPHY],14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,FILM TECHNOLOGY & TV PRODUCTION [FILM PROCESSING],14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,"FILM TECHNOLOGY & TV PRODUCTION [SOUND REC.
& SOUND ENGINEERING]",14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902145,Tamil Nadu,Southern,M.G.R. GOVERNMENT FILM AND TELEVISION INSTITUTE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,"FILM TECHNOLOGY(ANIMATION
& VISUAL EFFECTS",14,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902354,Tamil Nadu,Southern,M.S.POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,AUTOMOBILE ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902354,Tamil Nadu,Southern,M.S.POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902354,Tamil Nadu,Southern,M.S.POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449902354,Tamil Nadu,Southern,M.S.POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,120,NA,NA,Directorate of Technical Education Tamilnadu
1-2449903502,Tamil Nadu,Southern,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,120,NA,NA,Anna University Chennai
1-2449903502,Tamil Nadu,Southern,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449903502,Tamil Nadu,Southern,SRI JAYARAM INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2449903774,Tamil Nadu,Southern,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449903774,Tamil Nadu,Southern,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2449903774,Tamil Nadu,Southern,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449903774,Tamil Nadu,Southern,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449903774,Tamil Nadu,Southern,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,APPLIED ELECTRONICS,18,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,30,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,INFORMATION TECHNOLOGY,18,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,POWER ELECTRONICS AND DRIVES,18,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI DESIGN,30,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,120,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,180,NA,NA,Anna University Chennai
1-2449904312,Tamil Nadu,Southern,SASURIE COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,180,NA,NA,Anna University Chennai
1-2449907356,Tamil Nadu,Southern,NADAR MAHAJANA SANGAM VIMALA CHELLADURAI POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449907356,Tamil Nadu,Southern,NADAR MAHAJANA SANGAM VIMALA CHELLADURAI POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449907356,Tamil Nadu,Southern,NADAR MAHAJANA SANGAM VIMALA CHELLADURAI POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,APPLIED ELECTRONICS,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,BIOTECHNOLOGY,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,CHEMICAL ENGINEERING,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMMUNICATION SYSTEMS,25,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER AIDED DESIGN,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,25,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,INTERNAL COMBUSTION ENGINEERING,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,MECHATRONICS,18,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,POWER ELECTRONICS AND DRIVES,25,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,AUTOMOBILE ENGINEERING,60,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,BIOTECHNOLOGY,60,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CHEMICAL ENGINEERING,90,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,180,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,180,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,INFORMATION TECHNOLOGY,120,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MARINE ENGINEERING,60,Yes,NA,Anna University Chennai
1-2449907818,Tamil Nadu,Southern,SRI VENKATESWARA COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,Yes,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER AIDED DESIGN AND MANUFACTURE,18,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,STRUCTURAL ENGINEERING,18,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI DESIGN,18,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,180,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,120,NA,NA,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,NA,NA,Anna University Chennai
1-2449909526 ,Tamil Nadu,Southern ,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,120,NA ,NA ,Anna University Chennai
1-2449909526,Tamil Nadu,Southern,KPR INSTITUTE OF ENGINEERING AND TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,180,NA,NA,Anna University Chennai
1-2449910153,Tamil Nadu,Southern,KUMARAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449910153,Tamil Nadu,Southern,KUMARAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449910153,Tamil Nadu,Southern,KUMARAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449910153,Tamil Nadu,Southern,KUMARAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS & COMMUNICATION ENGG,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449910153,Tamil Nadu,Southern,KUMARAN POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,EMBEDDED SYSTEMS TECHNOLOGIES,18,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,180,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,120,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,INFORMATION TECHNOLOGY,60,NA,NA,Anna University Chennai
1-2449910417,Tamil Nadu,Southern,VELAMMAL INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,180,NA,NA,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMMUNICATION SYSTEMS,24,NA,NA,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,24,NA,NA,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449910960 ,Tamil Nadu,Southern ,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,60,NA ,NA ,Anna University Chennai
1-2449910960,Tamil Nadu,Southern,SRI VENKATESWARAA COLLEGE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2449911300,Tamil Nadu,Southern,THE WINNERS POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,CIVIL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449911300,Tamil Nadu,Southern,THE WINNERS POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,COMPUTER SCIENCE,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449911300,Tamil Nadu,Southern,THE WINNERS POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449911300,Tamil Nadu,Southern,THE WINNERS POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,ELECTRONICS AND COMMUNICATIONS ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449911300,Tamil Nadu,Southern,THE WINNERS POLYTECHNIC COLLEGE,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,DIPLOMA,MECHANICAL ENGINEERING,60,NA,NA,Directorate of Technical Education Tamilnadu
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,18,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,VLSI DESIGN,24,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,CIVIL ENGINEERING,60,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,60,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,120,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,INFORMATION TECHNOLOGY,60,NA,NA,Anna University Chennai
1-2449911524,Tamil Nadu,Southern,INDRA GANESAN COLLEGE OF ENGINEERING,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,UNDER GRADUATE,MECHANICAL ENGINEERING,120,NA,NA,Anna University Chennai
1-2449912182,Tamil Nadu,Southern,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,ENGINEERING AND TECHNOLOGY,1st Shift,FULL TIME,POST GRADUATE,APPLIED ELECTRONICS,30,NA,NA,Anna University Chennai
