"","code","name","type","ug.etc.total","pg.etc.total","total.students","full.time.total","part.time.total","total.staff","total.by.total","ug.by.fulltime"
"1",15,"Jawaharlal Nehru Technological University, Kakinada","State Public University ",0,300,300,12,33,45,6.66666666666667,0
"2",17,"Jawaharlal Nehru Technological University, Hyderabad","State Public University ",1682,0,1682,19,16,35,48.0571428571429,88.5263157894737
"3",18,"Jawarharlal Nehru Architecture and Fine Art University Hyderabad","State Public University ",272,258,530,15,12,27,19.6296296296296,18.1333333333333
"4",19,"Kakatiya University, Warangal","State Public University ",1018,0,1018,19,14,33,30.8484848484848,53.5789473684211
"5",20,"Koneru Lakshmaiah Education Foundation,Guntur","Deemed University-Private ",1878,0,1878,56,64,120,15.65,33.5357142857143
"6",21,"Krishna University, Machhlipattanam","State Public University ",626,0,626,25,0,25,25.04,25.04
"7",22,"Mahatma Gandhi University, Nalgonda","State Public University ",61,5,66,5,1,6,11,12.2
"8",23,"Maulana Azad National Urdu University, Hyderabad","Central University ",1516,0,1516,39,40,79,19.1898734177215,38.8717948717949
"9",24,"National Academy of Legal Studies & Research (NALSR) University Hyderabad","State Public University ",507,0,507,27,0,27,18.7777777777778,18.7777777777778
"10",27,"Osmania University, Hyderabad","State Public University ",804,0,804,40,4,44,18.2727272727273,20.1
"12",29,"Potti Sri Ramulu Telugu University, Hyderabad","State Public University ",1744,0,1744,46,35,81,21.5308641975309,37.9130434782609
"13",31,"Rayalaseema, University Kurnool","State Public University ",1364,0,1364,67,0,67,20.3582089552239,20.3582089552239
"14",32,"Satavahana University, Karimnagar","State Public University ",535,0,535,36,0,36,14.8611111111111,14.8611111111111
"15",33,"Sri Krishnadevaraya University, Anantapur","State Public University ",1153,0,1153,71,0,71,16.2394366197183,16.2394366197183
"16",35,"Sri Satya Sai Institute of Higher Learning, Anantpur","Deemed University-Private ",2388,0,2388,40,27,67,35.6417910447761,59.7
"17",35,"Sri Satya Sai Institute of Higher Learning, Anantpur","Deemed University-Private ",0,347,347,31,0,31,11.1935483870968,0
"18",36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi","Institute under State Legislature Act ",106,0,106,22,1,23,4.60869565217391,4.81818181818182
"19",36,"Sri Venkateswara Institute of Medical Sciences, Tirupathi","Institute under State Legislature Act ",138,0,138,18,0,18,7.66666666666667,7.66666666666667
"20",37,"Sri Venkateswara University, Tirupathy","State Public University ",101,5,106,5,13,18,5.88888888888889,20.2
"21",38,"Sri Venkateswara Vedic University, Tirpupathi","State Public University ",172,0,172,16,0,16,10.75,10.75
"22",39,"Sri Venkateswara Veterinary University, Tirupathi","State Public University ",169,12,181,23,0,23,7.8695652173913,7.34782608695652
"23",40,"Telangana University, Nizamabad","State Public University ",96,0,96,16,0,16,6,6
"24",40,"Telangana University, Nizamabad","State Public University ",94,21,115,14,0,14,8.21428571428571,6.71428571428571
"25",41,"The English and Foreign Languages University, Hyderabad","Central University ",330,0,330,59,0,59,5.59322033898305,5.59322033898305
"26",42,"University of Hyderabad, Hyderabad","Central University ",0,205,205,12,0,12,17.0833333333333,0
"27",43,"Vignan's Foundation of Science, Technology & Research, Guntur","Deemed University-Private ",0,200,200,9,0,9,22.2222222222222,0
"28",44,"Vikram Simhapuri University, Nellore","State Public University ",3128,113,3241,93,0,93,34.8494623655914,33.6344086021505
"29",45,"Yogi Vemana University, Kadapa","State Public University ",0,420,420,16,0,16,26.25,0
"30",46,"North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar","Deemed University-Government ",0,150,150,7,0,7,21.4285714285714,0
"31",47,"Rajiv Gandhi University, Itanagar","Central University ",124,0,124,16,0,16,7.75,7.75
"32",47,"Rajiv Gandhi University, Itanagar","Central University ",1501,0,1501,171,0,171,8.77777777777778,8.77777777777778
"33",48,"Assam Agricultural University, Jorhat","State Public University ",1967,86,2053,124,0,124,16.5564516129032,15.8629032258065
"34",49,"Assam Don Bosco University, Guwahati","State Private University ",2718,0,2718,78,0,78,34.8461538461538,34.8461538461538
"35",50,"Assam University, Silchar","Central University ",8,0,8,7,0,7,1.14285714285714,1.14285714285714
"36",50,"Assam University, Silchar","Central University ",2007,0,2007,52,39,91,22.0549450549451,38.5961538461538
"37",51,"Dibrugarh University, Dibrugarh","State Public University ",1579,0,1579,26,41,67,23.5671641791045,60.7307692307692
"38",51,"Dibrugarh University, Dibrugarh","State Public University ",0,68,68,7,0,7,9.71428571428571,0
"39",52,"Gauhati University, Guwahati","State Public University ",147,0,147,9,0,9,16.3333333333333,16.3333333333333
"40",53,"Indian Institute of Technology, Guwahati","Institute of National Importance ",179,44,223,18,0,18,12.3888888888889,9.94444444444444
"41",54,"Krishna Kanta Hanidiqui State Open University, Guwahati","State Open University ",250,0,250,16,0,16,15.625,15.625
"42",55,"National Institute of Technology, Silchar","Institute of National Importance ",510,33,543,39,0,39,13.9230769230769,13.0769230769231
"43",56,"Tezpur University, Tezpur","Central University ",1966,0,1966,35,38,73,26.9315068493151,56.1714285714286
"44",57,"Aryabhatta Knoweledge University , Patna","State Public University ",2554,175,2729,121,60,181,15.0773480662983,21.1074380165289
"45",59,"Bhupendra Narayan Mandal University, Madhepura","State Public University ",528,0,528,29,0,29,18.2068965517241,18.2068965517241
"46",60,"Bihar Agriculture University, Sabour","State Public University ",51,19,70,18,0,18,3.88888888888889,2.83333333333333
"47",62,"Central University of South Bihar, Patna","Central University ",0,19,19,7,0,7,2.71428571428571,0
"48",64,"Indian Institute of Technology, Patna","Institute of National Importance ",65,0,65,7,0,7,9.28571428571429,9.28571428571429
"49",65,"Indira Gandhi Institute of Medical Sciences, Patna","Institute under State Legislature Act ",53,14,67,19,0,19,3.52631578947368,2.78947368421053
"50",66,"Jai Prakash Vishwavidyalaya, Chapra","State Public University ",87,73,160,22,0,22,7.27272727272727,3.95454545454545
"51",67,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga","State Public University ",0,5,5,4,0,4,1.25,0
"52",68,"Lalit Narayan Mithila University, Darbhanga","State Public University ",0,10,10,5,0,5,2,0
"53",69,"Magadh University, Bodh Gaya","State Public University ",0,98,98,6,0,6,16.3333333333333,0
"54",70,"Maulana Mazharul Haque Arabic & Persian University, Patna","State Public University ",157,0,157,16,0,16,9.8125,9.8125
"55",70,"Maulana Mazharul Haque Arabic & Persian University, Patna","State Public University ",0,0,0,5,0,5,0,0
"56",71,"Nalanda Open University, Patna","State Open University ",206,0,206,48,0,48,4.29166666666667,4.29166666666667
"57",73,"Nava Nalanda Mahavihara, Nalanda","Deemed University-Government ",2236,71,2307,169,0,169,13.6508875739645,13.2307692307692
"58",74,"Patna University, Patna","State Public University ",358,0,358,24,0,24,14.9166666666667,14.9166666666667
"59",74,"Patna University, Patna","State Public University ",0,234,234,10,0,10,23.4,0
"60",75,"Rajendra Agricultural University, Samastipur","State Public University ",3157,0,3157,115,22,137,23.043795620438,27.4521739130435
"61",75,"Rajendra Agricultural University, Samastipur","State Public University ",476,178,654,36,0,36,18.1666666666667,13.2222222222222
"62",77,"Veer Kunwar Singh University, Arrah","State Public University ",1345,0,1345,92,0,92,14.6195652173913,14.6195652173913
"63",78,"Panjab University,Chandigarh","State Public University ",1412,0,1412,114,0,114,12.3859649122807,12.3859649122807
"64",78,"Panjab University,Chandigarh","State Public University ",850,0,850,75,0,75,11.3333333333333,11.3333333333333
"65",79,"Post Graduate Institute of Medical Sciences","Institute of National Importance ",0,39,39,8,0,8,4.875,0
"66",80,"PEC University of Technology, Chandigarh","Deemed University-Government ",0,48,48,7,0,7,6.85714285714286,0
"67",81,"Ayush and Health Science University of Chattisgarh, Raipur","State Public University ",4517,0,4517,138,0,138,32.731884057971,32.731884057971
"68",82,"Bastar Vishwavidyalaya, Bastar","State Public University ",214,26,240,21,0,21,11.4285714285714,10.1904761904762
"69",83,"Chhattisgarh Swami Vivekanand Technical University, Bhilai","State Public University ",1875,66,1941,70,2,72,26.9583333333333,26.7857142857143
"70",84,"Dr. C. V. Raman University, Kota Bilaspur","State Private University ",0,51,51,9,0,9,5.66666666666667,0
"71",85,"Guru Ghasidas Vishwavidyalaya, Bilaspur","Central University ",0,212,212,15,0,15,14.1333333333333,0
"72",86,"Hidayatullah National Law University, Raipur","State Public University ",0,37,37,6,0,6,6.16666666666667,0
"73",87,"Indira Gandhi Krishi Vishwavidyalaya, Raipur","State Public University ",0,8,8,9,0,9,0.888888888888889,0
"74",87,"Indira Gandhi Krishi Vishwavidyalaya, Raipur","State Public University ",0,644,644,45,2,47,13.7021276595745,0
"75",88,"Indira Kala Sangit Vishwavidyalaya, Khairagarh","State Public University ",655,4,659,34,0,34,19.3823529411765,19.2647058823529
"76",88,"Indira Kala Sangit Vishwavidyalaya, Khairagarh","State Public University ",0,109,109,6,0,6,18.1666666666667,0
"77",89,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur","State Public University ",242,33,275,18,0,18,15.2777777777778,13.4444444444444
"78",90,"Maharishi University of Management and Technology,  Bilaspur","State Private University ",0,70,70,5,0,5,14,0
"79",91,"MATS University, Raipur","State Private University ",1676,162,1838,74,1,75,24.5066666666667,22.6486486486486
"80",92,"National Institute of Technology, Raipur","Institute of National Importance ",227,37,264,23,0,23,11.4782608695652,9.8695652173913
"81",92,"National Institute of Technology, Raipur","Institute of National Importance ",375,3,378,26,0,26,14.5384615384615,14.4230769230769
"82",93,"Pt. Ravishankar Shukla University, Raipur","State Public University ",2386,93,2479,133,0,133,18.6390977443609,17.9398496240602
"83",94,"Pt. Sundarlal Sharma (Open) University, Bilaspur","State Open University ",2223,179,2402,113,0,113,21.2566371681416,19.6725663716814
"84",95,"Sarguja University, Ambikapur","State Public University ",3117,0,3117,84,0,84,37.1071428571429,37.1071428571429
"85",97,"Bharat Ratana Dr. B. R. Ambedkar University","State Public University ",1721,0,1721,86,0,86,20.0116279069767,20.0116279069767
"86",98,"Delhi Technological University","State Public University ",85,25,110,14,1,15,7.33333333333333,6.07142857142857
"87",100,"Indian Institute of Technology, Delhi","Institute of National Importance ",0,47,47,6,0,6,7.83333333333333,0
"88",100,"Indian Institute of Technology, Delhi","Institute of National Importance ",137,0,137,21,0,21,6.52380952380952,6.52380952380952
"89",101,"Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi.","Deemed University-Government ",0,74,74,12,0,12,6.16666666666667,0
"90",102,"Indian Institute of Foreign Trade, Delhi","Deemed University-Government ",156,355,511,41,0,41,12.4634146341463,3.80487804878049
"91",103,"Indian Law Institute, Bhagwandas Road, New Delhi","Deemed University-Government Aided ",81,0,81,7,0,7,11.5714285714286,11.5714285714286
"92",104,"Indira Gandhi National Open University","Central Open University ",0,107,107,7,0,7,15.2857142857143,0
"93",104,"Indira Gandhi National Open University","Central Open University ",0,25,25,3,5,8,3.125,0
"94",106,"Institute of Liver and Bilary Sciences, New Delhi","Deemed University-Government ",394,0,394,26,0,26,15.1538461538462,15.1538461538462
"95",108,"Jamia Millia Islamia University","Central University ",3681,49,3730,48,50,98,38.0612244897959,76.6875
"96",110,"National Institute of Fashion Technology, Hauz Khas","Others",719,0,719,53,26,79,9.10126582278481,13.5660377358491
"97",111,"National Law University, Delhi","State Public University ",37,51,88,3,5,8,11,12.3333333333333
"98",112,"National Museum Institute of Hisotry of Art Conservation and Musicology","Deemed University-Government ",198,96,294,20,0,20,14.7,9.9
"99",114,"National University of Education, Planning & Administration, New Delhi","Deemed University-Government ",0,15,15,4,0,4,3.75,0
"100",115,"Rashtriya Sanskrit Sansthan, New Delhi","Deemed University-Government ",97,12,109,14,0,14,7.78571428571429,6.92857142857143
"101",116,"School of Planning & Architecture, New Delhi","Deemed University-Government ",0,357,357,24,0,24,14.875,0
"102",117,"Shri Lal Bhadur Shashtri Rashtriya Sanskrit Vidyapith, New Delhi","Deemed University-Government ",277,110,387,25,0,25,15.48,11.08
"103",119,"TERI School of Advanced Studies, New Delhi","Deemed University-Private ",1102,0,1102,54,24,78,14.1282051282051,20.4074074074074
"104",119,"TERI School of Advanced Studies, New Delhi","Deemed University-Private ",0,20,20,7,0,7,2.85714285714286,0
