"","code","name","type","ug.etc.total","pg.etc.total","total.students","full.time.total","part.time.total","total.staff","total.by.total","ug.by.fulltime"
"595",665,"TAMIL NADU FISHERIES UNIVERSITY","State Public University ",1203,0,1203,88,0,88,13.6704545454545,13.6704545454545
"596",666,"BABA MASTNATH UNIVERSITY","State Private University ",1238,95,1333,39,2,41,32.5121951219512,31.7435897435897
"597",669,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI","State Public University ",2811,0,2811,13,139,152,18.4934210526316,216.230769230769
"598",669,"SRIMANTA SANKARADEVA UNIVERSITY OF HEALTH SCIENCES, GUWAHATI","State Public University ",361,0,361,9,0,9,40.1111111111111,40.1111111111111
"599",670,"SWARNIM GUJARAT SPORTS UNIVERSITY","State Public University ",524,0,524,32,0,32,16.375,16.375
"600",671,"MAHARAJA AGRASEN UNIVERSITY","State Private University ",2013,0,2013,152,0,152,13.2434210526316,13.2434210526316
"601",673,"ASSAM SCIENCE AND TECHNOLOGY UNIVERSITY","State Public University ",304,25,329,9,3,12,27.4166666666667,33.7777777777778
"602",674,"BODOLAND UNIVERSITY","State Public University ",1229,67,1296,1,7,8,162,1229
"603",675,"COTTON COLLEGE STATE UNIVERSITY","State Public University ",273,0,273,22,10,32,8.53125,12.4090909090909
"604",677,"NATIONAL LAW UNIVERSITY AND JUDICIAL ACADEMY","State Public University ",679,0,679,71,0,71,9.56338028169014,9.56338028169014
"605",678,"HARIDEV JOSHI UNIVERSITY OF JOURNALISM AND MASS COMMUNICATION","State Public University ",313,0,313,9,0,9,34.7777777777778,34.7777777777778
"606",679,"SARDAR PATEL UNIVERSITY OF POLICE, SECURITY AND CRIMINAL JUSTICE","State Public University ",49,0,49,6,1,7,7,8.16666666666667
"607",680,"TAMIL NADU NATIONAL LAW SCHOOL","State Public University ",346,0,346,18,24,42,8.23809523809524,19.2222222222222
"608",681,"UTTARAKHAND AYURVED UNIVERSITY","State Public University ",1976,137,2113,21,4,25,84.52,94.0952380952381
"609",681,"UTTARAKHAND AYURVED UNIVERSITY","State Public University ",584,0,584,29,3,32,18.25,20.1379310344828
"610",683,"ASSAM DOWN TOWN UNIVERSITY","State Private University ",372,0,372,16,20,36,10.3333333333333,23.25
"611",683,"ASSAM DOWN TOWN UNIVERSITY","State Private University ",540,0,540,16,0,16,33.75,33.75
"612",685,"INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN","State Public University ",630,37,667,2,0,2,333.5,315
"613",687,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL","Institute of National Importance ",1037,0,1037,10,23,33,31.4242424242424,103.7
"614",688,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHUBANESWAR","Institute of National Importance ",366,0,366,17,20,37,9.89189189189189,21.5294117647059
"615",690,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RAIPUR","Institute of National Importance ",808,223,1031,166,36,202,5.1039603960396,4.86746987951807
"616",691,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH","Institute of National Importance ",208,0,208,7,2,9,23.1111111111111,29.7142857142857
"617",693,"SANGAM UNIVERSITY, BHILWARA","State Private University ",50,0,50,6,0,6,8.33333333333333,8.33333333333333
"618",693,"SANGAM UNIVERSITY, BHILWARA","State Private University ",63,0,63,2,8,10,6.3,31.5
"619",694,"CAREER POINT UNIVERSITY, HAMIRPUR","State Private University ",307,0,307,9,0,9,34.1111111111111,34.1111111111111
"620",694,"CAREER POINT UNIVERSITY, HAMIRPUR","State Private University ",504,0,504,28,29,57,8.8421052631579,18
"621",696,"IEC (INDIA EDUCATION CENTRE) UNIVERSITY","State Private University ",46,0,46,3,0,3,15.3333333333333,15.3333333333333
"622",696,"IEC (INDIA EDUCATION CENTRE) UNIVERSITY","State Private University ",87,0,87,6,22,28,3.10714285714286,14.5
"623",697,"APG (ALAKH PRAKASH GOYAL) SHIMLA UNIVERSITY","State Private University ",732,251,983,10,0,10,98.3,73.2
"624",697,"APG (ALAKH PRAKASH GOYAL) SHIMLA UNIVERSITY","State Private University ",660,0,660,27,27,54,12.2222222222222,24.4444444444444
"625",698,"MADHAV UNIVERSITY","State Private University ",343,0,343,5,1,6,57.1666666666667,68.6
"626",699,"INDIRA GANDHI UNIVERSITY, MEERPUR","State Public University ",1604,0,1604,95,0,95,16.8842105263158,16.8842105263158
"627",700,"K.R. MANGALAM UNIVERSITY, GURGAON","State Private University ",718,0,718,9,9,18,39.8888888888889,79.7777777777778
"628",700,"K.R. MANGALAM UNIVERSITY, GURGAON","State Private University ",638,0,638,46,0,46,13.8695652173913,13.8695652173913
"629",701,"INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY), VARANASI","Institute of National Importance ",1045,42,1087,19,4,23,47.2608695652174,55
"630",702,"SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY, GURGAON","State Private University ",324,0,324,4,9,13,24.9230769230769,81
"631",703,"AGRICULTURE UNIVERSITY, JODHPUR","State Public University ",494,0,494,4,13,17,29.0588235294118,123.5
"632",706,"KAMDHENU UNIVERSITY, GANDHINAGAR","State Public University ",727,0,727,4,16,20,36.35,181.75
"633",708,"C.U.SHAH UNIVERSITY, SURENDRANAGAR","State Private University ",583,0,583,14,11,25,23.32,41.6428571428571
